standard_num,level,standard_name,drafts_name,publish_date,status
NB/T 20005.15-2013,行业标准,压水堆核电厂用碳钢和低合金钢 第15部分：用填充金属焊接的2、3级管件,"中国核电工程有限公司,无锡新峰管业有限公司",2013-06-08,现行
NB/T 20005.16-2012,行业标准,压水堆核电厂用碳钢和低合金钢 第16部分：主蒸汽系统用弯头,"中国核电工程有限公司,无锡新峰管业有限公司",2012-01-06,现行
NB/T 20005.18-2018,行业标准,压水堆核电厂用碳钢和低合金钢 第18部分：主蒸汽隔离阀阀体用铸件,"中国核电工程有限公司,苏州热工研究院有限公司,安徽应流集团",2018-03-22,现行
NB/T 20005.2-2012,行业标准,压水堆核电厂用碳钢和低合金钢 第2部分：2、3级热交换器管板锻件,中国核电工程有限公司,2012-01-06,现行
NB/T 20005.3-2012,行业标准,压水堆核电厂用碳钢和低合金钢 第3部分：2、3级辅助泵轴锻件,中国核电工程有限公司,2012-01-06,现行
NB/T 20005.31-2015,行业标准,压水堆核电厂用碳钢和低合金钢 第31部分：安全壳用15Mn锻件,"中国核电工程有限公司,上海核工程研究设计院,上海第一机床厂有限公司",2015-04-02,现行
NB/T 20005.32-2015,行业标准,压水堆核电厂用碳钢和低合金钢 第32部分：安全壳用15MnHR钢板,"上海核工程研究设计院,中科华核电技术研究院有限公司",2015-04-02,现行
NB/T 20005.33-2015,行业标准,压水堆核电厂用碳钢和低合金钢 第33部分：安全壳用15Mn钢管,"中国核电工程有限公司,上海核工程研究设计院",2015-04-02,现行
NB/T 20005.34-2015,行业标准,压水堆核电厂用碳钢和低合金钢 第34部分：安全壳用碳钢栓钉,上海核工程研究设计院,2015-04-02,现行
NB/T 20005.35-2017,行业标准,压水堆核电厂用碳钢和低合金钢 第35部分：控制棒驱动机构用碳钢钢管,"中国核动力研究设计院,中广核工程有限公司,上海第一机床厂有限公司",2017-02-10,现行
